"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"603658.SH";"603658";"安图生物";"河南";"医疗保健";"郑州安图生物工程股份有限公司";"Autobio Diagnostics Co., Ltd.";"主板";"SSE";"CNY";"L";"2016";"";"H";"6"
"603659.SH";"603659";"璞泰来";"上海";"化工原料";"上海璞泰来新能源科技股份有限公司";"Shanghai Putailai New Energy Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"H";"5"
"603660.SH";"603660";"苏州科达";"江苏";"通信设备";"苏州科达科技股份有限公司";"Suzhou Keda Technology Co.,Ltd";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603661.SH";"603661";"恒林股份";"浙江";"家居用品";"恒林家居股份有限公司";"Henglin Home Furnishings Co.,Ltd";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603662.SH";"603662";"柯力传感";"浙江";"电器仪表";"宁波柯力传感科技股份有限公司";"Keli Sensing Technology (Ningbo) Co.,Ltd.";"主板";"SSE";"CNY";"L";"2019";"";"N";"3"
"603663.SH";"603663";"三祥新材";"福建";"小金属";"三祥新材股份有限公司";"Sanxiang Advanced Materials Co., Ltd.";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603665.SH";"603665";"康隆达";"浙江";"纺织";"浙江康隆达特种防护科技股份有限公司";"ZheJiang KangLongDa Special Protection Technology Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603666.SH";"603666";"亿嘉和";"江苏";"专用机械";"亿嘉和科技股份有限公司";"Yijiahe Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2018";"";"H";"4"
"603667.SH";"603667";"五洲新春";"浙江";"机械基件";"浙江五洲新春集团股份有限公司";"Zhejiang XCC Group Co.,Ltd";"主板";"SSE";"CNY";"L";"2016";"";"N";"6"
"603668.SH";"603668";"天马科技";"福建";"饲料";"福建天马科技集团股份有限公司";"Fujian Tianma Science and Technology Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603669.SH";"603669";"灵康药业";"西藏";"化学制药";"灵康药业集团股份有限公司";"Lionco Pharmaceutical Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"N";"7"
"603676.SH";"603676";"卫信康";"西藏";"化学制药";"西藏卫信康医药股份有限公司";"Tibet Weixinkang Medicine Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603677.SH";"603677";"奇精机械";"浙江";"家用电器";"奇精机械股份有限公司";"Qijing Machinery Co., Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603678.SH";"603678";"火炬电子";"福建";"元器件";"福建火炬电子科技股份有限公司";"Fujian Torch Electron Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2015";"";"H";"7"
"603679.SH";"603679";"华体科技";"四川";"电气设备";"四川华体照明科技股份有限公司";"Sichuan Huati Lighting Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2017";"";"N";"5"
"603680.SH";"603680";"今创集团";"江苏";"运输设备";"今创集团股份有限公司";"Ktk Group Co.,Ltd.";"主板";"SSE";"CNY";"L";"2018";"";"N";"4"
"603681.SH";"603681";"永冠新材";"上海";"化工原料";"上海永冠众诚新材料科技(集团)股份有限公司";"Shanghai Yongguan Adhesive Products Corp.,Ltd";"主板";"SSE";"CNY";"L";"2019";"";"H";"3"
"603682.SH";"603682";"锦和商业";"上海";"房产服务";"上海锦和商业经营管理股份有限公司";"Shanghai Golden Union Business Management Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
