"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"603396";"0";"0";"0";"0";"1";"2018";"2018"
"600800";"0";"0";"0";"0";"0";"2019";"2019"
"600801";"0";"0";"0";"0";"0";"2009";"2009"
"600801";"0";"0";"0";"0";"0";"2010";"2010"
"600801";"0";"0";"0";"0";"0";"2012";"2012"
"600801";"0";"0";"0";"0";"0";"2013";"2013"
"600801";"0";"0";"0";"0";"0";"2014";"2014"
"600801";"0";"0";"0";"0";"0";"2015";"2015"
"603396";"0";"0";"0";"0";"0";"2019";"2019"
"600609";"0";"0";"0";"0";"0";"2009";"2009"
"603398";"0";"0";"0";"0";"0";"2015";"2015"
"603398";"0";"0";"0";"0";"0";"2016";"2016"
"603398";"0";"0";"0";"0";"0";"2018";"2018"
"600609";"0";"0";"0";"0";"0";"2010";"2010"
"600609";"0";"0";"0";"0";"0";"2011";"2011"
"600801";"0";"0";"0";"0";"0";"2016";"2016"
"600801";"0";"0";"0";"0";"0";"2017";"2017"
"603398";"0";"0";"0";"0";"0";"2019";"2019"
"603398";"0";"0";"0";"0";"0";"2020";"2020"
"600609";"0";"0";"0";"0";"0";"2013";"2013"
"603399";"0";"0";"0";"0";"0";"2020";"2020"
"000519";"0";"0";"0";"0";"0";"2009";"2009"
"600801";"0";"0";"0";"0";"0";"2018";"2018"
"600609";"0";"0";"0";"0";"0";"2014";"2014"
"603399";"0";"0";"0";"0";"0";"2012";"2012"
"600609";"0";"0";"0";"0";"0";"2015";"2015"
"603399";"0";"0";"0";"0";"0";"2013";"2013"
"603399";"0";"0";"0";"0";"0";"2014";"2014"
"600609";"0";"0";"0";"0";"0";"2018";"2018"
"000519";"0";"0";"0";"0";"0";"2010";"2010"
"600801";"0";"0";"0";"0";"0";"2019";"2019"
"600802";"0";"0";"0";"0";"0";"2010";"2010"
"600802";"0";"0";"0";"0";"0";"2011";"2011"
"603399";"0";"0";"0";"0";"0";"2015";"2015"
"600802";"0";"0";"0";"0";"0";"2013";"2013"
